model,round,seconds,gen_tokens,tok_per_sec,energy_j,j_per_token,mean_temp_c,max_temp_c,quant
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,1,12.05946135520935,256,21.228145475122332,784.3158666809798,3.063733854222577,76.88288288288288,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,1,13.300331592559814,256,19.247640422980584,864.1205127763748,3.375470753032714,76.84552845528455,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,1,11.467446327209473,256,22.324063500744188,752.4720333651305,2.939343880332541,76.34905660377359,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,1,13.383585691452026,256,19.127908312606007,879.0317925087213,3.4337179394871926,76.41463414634147,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,1,16.792295932769775,256,15.245086260087994,1097.1925391637087,4.285908356108237,76.7987012987013,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,2,11.980544805526733,256,21.367976511544356,778.4948767609596,3.0409956123474986,76.67272727272727,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,2,13.307087898254395,256,19.237867966107125,873.5330458949803,3.412238460527267,76.70731707317073,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,2,11.518448114395142,256,22.225216232043,757.9094703767299,2.9605838686591013,76.41509433962264,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,2,13.441916942596436,256,19.044902679673243,877.6968742735386,3.42850341513101,76.58870967741936,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,2,16.80843186378479,256,15.230451125638554,1102.1906045405863,4.305432048986665,76.8258064516129,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,3,11.925419569015503,256,21.466749955291842,776.9267148485183,3.0348699798770244,76.60909090909091,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,3,13.256941080093384,256,19.310638740365942,861.7423250336647,3.3661809571627526,76.61475409836065,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,3,11.46481966972351,256,22.329178074736678,751.6367006622553,2.9360808619619347,76.25714285714285,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,3,13.38500428199768,256,19.12588106858585,880.3484168533087,3.438861003333237,76.34677419354838,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,3,16.779518365859985,256,15.256695360271115,1101.6623799066545,4.303368671510369,76.74025974025975,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,4,11.994239091873169,256,21.343579866892572,780.3370316203832,3.048191529767122,76.8,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,4,13.292840719223022,256,19.25848698614087,863.1621813353299,3.3717272708411326,76.76229508196721,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,4,11.447889804840088,256,22.362199878248738,753.0463996315003,2.941587498560548,76.33962264150944,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,4,13.307535648345947,256,19.23722068193891,873.969888650298,3.4139448775402266,76.26016260162602,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,4,16.734978914260864,256,15.297300421564755,1098.2611984245777,4.290082806346007,76.66233766233766,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,5,12.00542664527893,256,21.323690324714168,781.0090172843932,3.050816473767161,76.86486486486487,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,5,13.32079267501831,256,19.21807554891985,875.6969251099824,3.420691113710869,76.89430894308943,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,5,11.473610639572144,256,22.312069673783732,752.9381906231642,2.9411648071217353,76.27619047619048,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,5,13.286917924880981,256,19.267071675111076,864.3072153413295,3.3762000599270685,76.1639344262295,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,5,16.735323667526245,256,15.296985292059247,1096.8965592856407,4.284752184709534,76.69281045751634,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,6,11.92919397354126,256,21.45995786201511,779.3531334248781,3.0443481774409302,76.53636363636363,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,6,13.251631498336792,256,19.318376007673507,869.8159346503019,3.3977184947277417,76.6260162601626,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,6,11.529937267303467,256,22.203069632127438,755.00043405509,2.949220445527695,76.34905660377359,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,6,13.392261028289795,256,19.115517496203662,876.259716745496,3.422889518537094,76.3739837398374,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,6,16.6412456035614,256,15.383463840303715,1092.248309523821,4.266594959077426,76.37254901960785,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,7,11.993648290634155,256,21.344631241180426,784.2693335901499,3.063552084336523,76.77477477477477,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,7,13.306939125061035,256,19.238083047804263,870.5112423636913,3.400434540483169,76.89430894308943,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,7,11.479089260101318,256,22.301420800846746,748.1151341830491,2.9223247429025356,76.14285714285714,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,7,13.332656145095825,256,19.20097520059159,874.8276318379641,3.417295436867047,76.28455284552845,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,7,16.81423830986023,256,15.225191607393604,1102.0337034538984,4.304819154116791,76.83766233766234,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,8,12.047637701034546,256,21.248978957760073,787.4691530892848,3.0760513792550186,76.83035714285714,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,8,13.3120596408844,256,19.230683072795518,873.4813131594658,3.4120363795291633,76.92682926829268,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,8,11.545908212661743,256,22.17235710563326,757.3577778832913,2.9584288198566067,76.4245283018868,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,8,13.371357202529907,256,19.145401332301848,869.2230390400886,3.395402496250346,76.34959349593495,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,8,16.688732862472534,256,15.33969068290737,1098.4067749829292,4.290651464777067,76.62745098039215,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,9,12.002572536468506,256,21.328760915393094,784.2197123385668,3.0633582513225264,76.84684684684684,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,9,13.312140226364136,256,19.230566659221537,868.7313171610833,3.3934817076604817,76.70731707317073,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,9,11.461078643798828,256,22.33646657145244,751.9302842197418,2.9372276727333664,76.38679245283019,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,9,13.400226831436157,256,19.104154222183674,884.2279045696258,3.454015252225101,76.53225806451613,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,9,16.839824199676514,256,15.202058938650776,1099.8717204397917,4.296373907967936,76.87012987012987,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,10,11.932772397994995,256,21.453522405490144,777.2032944724559,3.035950369033031,76.61818181818182,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,10,13.323039531707764,256,19.21483452711677,867.8703192175627,3.3901184344436044,76.84426229508196,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,10,11.505687952041626,256,22.24986468145732,750.8269195588828,2.932917654526886,76.38679245283019,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,10,13.349509716033936,256,19.176734235604286,877.065647098303,3.426037683977746,76.3821138211382,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,10,16.750847339630127,256,15.28280897136113,1102.8773583524226,4.308114681064151,76.82467532467533,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,11,11.963500738143921,256,21.39841887448382,777.1246081540585,3.035643000601791,76.8,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,11,13.366713523864746,256,19.152052562729136,871.3667449252605,3.403776347364299,76.98373983739837,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,11,11.510314464569092,256,22.240921461183014,753.4692988363504,2.9432394485794937,76.33962264150944,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,11,13.323008298873901,256,19.21487957202863,869.8238434773684,3.3977493885834704,76.48360655737704,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,11,16.747905492782593,256,15.285493467247091,1100.0824440002443,4.297197046875954,76.75324675324676,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,12,11.95330548286438,256,21.416670089038377,775.2805544319152,3.028439665749669,76.65454545454546,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,12,13.336636781692505,256,19.195244212650138,872.1138277777434,3.40669463975681,76.91869918699187,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,12,11.541560411453247,256,22.180709615829663,756.737266421795,2.9560049469601366,76.54716981132076,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,12,13.444032430648804,256,19.04190586571246,876.6549258118868,3.4244333039526826,76.5,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,12,16.839135885238647,256,15.202680336133644,1106.1866113102435,4.321041450430639,76.9483870967742,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,13,11.989249229431152,256,21.352462952523535,778.8665938783886,3.0424476323374554,76.71818181818182,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,13,13.30630350112915,256,19.239002024737847,870.4408274117708,3.4001594820772296,76.95121951219512,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,13,11.41897964477539,256,22.41881568789113,750.7609568927288,2.932659987862222,76.29523809523809,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,13,13.453079223632812,256,19.029100754144732,886.6200952419043,3.4633597470386888,76.44354838709677,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,13,16.83354902267456,256,15.207725932016563,1097.6626222194432,4.2877446180447,76.8961038961039,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,14,12.000629186630249,256,21.332214837969197,784.4088966739178,3.064097252632491,76.72072072072072,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,14,13.334447622299194,256,19.198395557975065,872.6024899938107,3.408603476538323,76.8780487804878,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,14,11.494300365447998,256,22.27190797706479,751.559813744545,2.9357805224396287,76.45714285714286,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,14,13.364463090896606,256,19.155277564003153,876.0033857483863,3.421888225579634,76.3821138211382,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,14,16.76783847808838,256,15.267322638784467,1099.3765549691916,4.294439667848405,76.77272727272727,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,15,11.995754957199097,256,21.340882746722407,780.3668624458313,3.0483080564290286,76.7909090909091,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,15,13.328479051589966,256,19.206992711554854,869.7093521612882,3.397302156880032,76.9349593495935,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,15,11.407168626785278,256,22.4420281996081,750.3510964905024,2.931058970666025,76.19047619047619,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,15,13.313977718353271,256,19.227912605494666,866.9042133767605,3.3863445835029706,76.26829268292683,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,15,16.684170246124268,256,15.343885624726756,1093.6612786139249,4.272114369585644,76.66883116883118,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,16,12.000149965286255,256,21.33306673171174,788.6727109183074,3.0807527770246383,76.8108108108108,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,16,13.416126012802124,256,19.08151427287699,870.8312912969587,3.401684731628745,77.01612903225806,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,16,11.514073848724365,256,22.233659724908055,749.2354380313159,2.9267009298098277,76.39047619047619,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,16,13.363615274429321,256,19.15649281597058,868.2697811381817,3.391678832571022,76.50806451612904,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,16,16.874836683273315,256,15.170517191064281,1103.061942122698,4.308835711416789,77.02580645161291,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,17,11.940744400024414,256,21.43919938521392,778.6662424874306,3.041665009716526,76.69090909090909,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,17,13.266378164291382,256,19.296902050407827,870.320350383401,3.39968886868516,76.7560975609756,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,17,11.49579644203186,256,22.269009484544465,754.7118415434361,2.9480931310290472,76.33962264150944,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,17,13.34976863861084,256,19.176362297364804,872.4898562577964,3.4081635010070173,76.40650406504065,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,17,16.75842547416687,256,15.27589810836491,1096.8225669847725,4.2844631522842676,76.81818181818181,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,18,11.948762893676758,256,21.424812114689654,780.2600645943879,3.047890877321828,76.65454545454546,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,18,13.3326096534729,256,19.201042155563048,871.2338264685868,3.4032571346429172,76.91056910569105,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,18,11.486735343933105,256,22.28657597958939,751.2621464707852,2.9346177596515046,76.31132075471699,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,18,13.409324884414673,256,19.091192301376967,880.692714170098,3.4402059147269455,76.38709677419355,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,18,16.832969427108765,256,15.208249566931617,1104.657868193865,4.315069797632285,76.92903225806451,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,19,11.982900142669678,256,21.363776460793037,778.9566200871467,3.0427992972154168,76.85585585585585,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,19,13.335116863250732,256,19.197432060418727,868.6085448645354,3.3930021283770913,76.97560975609755,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,19,11.48171091079712,256,22.29632865597268,750.8987561001777,2.933198266016319,76.2,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,19,13.314924716949463,256,19.22654505692551,870.9666058448552,3.4022133040814655,76.33333333333333,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,19,16.846428394317627,256,15.196099375363737,1102.7389527621267,4.307574034227057,76.98064516129033,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,20,11.987974643707275,256,21.35473318959508,783.8741223112346,3.06200829027826,76.7927927927928,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,20,13.353955745697021,256,19.17034958592622,875.0298034170866,3.4180851695979944,76.9430894308943,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,20,11.489917993545532,256,22.280402709906905,748.0413100403548,2.922036367345136,76.36190476190477,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,20,13.38243579864502,256,19.129551888148807,874.5157205915451,3.416077033560723,76.47154471544715,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,20,16.77976942062378,256,15.25646709336506,1103.5330507633687,4.310675979544409,76.85064935064935,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,21,11.960637092590332,256,21.403542137282397,778.6846324743033,3.041736845602747,76.71818181818182,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,21,13.356502532958984,256,19.16669422764569,869.4973724237682,3.3964741110303445,76.90243902439025,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,21,11.546036005020142,256,22.17211170038729,755.0566289161444,2.949439956703689,76.44859813084112,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,21,13.40244460105896,256,19.100992962117733,875.4265306553841,3.419634885372594,76.4308943089431,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,21,16.881669521331787,256,15.164376940119384,1108.5154059734346,4.330138304583729,77.00641025641026,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,22,12.121127605438232,256,21.12014726131121,788.205359594822,3.0789271859172733,77.0625,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,22,13.381111860275269,256,19.131444581970165,873.8390171509981,3.4134336607460862,77.20325203252033,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,22,11.593706130981445,256,22.08094608469507,758.0113059811592,2.9609816639889033,76.59433962264151,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,22,13.438557863235474,256,19.049663111571803,880.3589618558884,3.438902194749564,76.62903225806451,79.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,22,17.0214524269104,256,15.039844637186881,1116.4508855804206,4.361136271798518,77.24358974358974,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,23,12.129216432571411,256,21.10606249160051,790.3175575727224,3.087177959268447,77.08928571428571,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,23,13.476722717285156,256,18.995716196761702,880.5660475410224,3.4397111232071187,77.312,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,23,11.61923623085022,256,22.032429233196474,760.0001351972819,2.9687505281143824,76.6574074074074,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,23,13.578112125396729,256,18.853872882753215,887.3029675562381,3.466027217016555,76.928,79.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,23,17.0652334690094,256,15.001259752167941,1117.9488912934066,4.36698785661487,77.32278481012658,80.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,24,12.063343524932861,256,21.22131393099201,786.0134829056262,3.0703651676001025,76.96396396396396,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,24,13.409837245941162,256,19.090462867286856,875.7420690978767,3.4208674574135807,77.3225806451613,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,11.592740774154663,256,22.08278482088869,756.9960674448013,2.957015888456255,76.57009345794393,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,24,13.549934148788452,256,18.893080747768053,888.850090007782,3.4720706640928984,76.856,79.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,24,17.132479906082153,256,14.94237853500229,1121.489230459213,4.380817306481301,77.49056603773585,80.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,25,11.950005054473877,256,21.422585081180195,779.3123101730346,3.0441887116134163,76.71171171171171,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,25,13.434656858444214,256,19.055194538823958,872.5793715525865,3.408513170127291,77.2741935483871,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,25,11.604731559753418,256,22.059967409141827,759.0895235557556,2.9651934513896703,76.57009345794393,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,25,13.561927795410156,256,18.87637243479792,887.0877341196536,3.465186461404897,76.84,79.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,25,17.12953495979309,256,14.94494746068064,1119.2253841264246,4.371974156743846,77.37341772151899,80.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,26,12.028090953826904,256,21.283510490794058,784.7622575489282,3.065477568550501,77.0,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,26,13.40040636062622,256,19.10389827820391,877.2856996772289,3.4268972643641753,77.13709677419355,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,26,11.602449178695679,256,22.064306945646017,762.1861703133583,2.9772897277865558,76.57943925233644,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,26,13.496153116226196,256,18.96836808202891,884.9877363420725,3.4569833450862206,76.76612903225806,79.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,26,17.07808828353882,256,14.989968183192529,1119.9729734812975,4.374894427661318,77.40764331210191,80.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,27,12.028274536132812,256,21.28318564986014,785.0855370548963,3.066740379120689,76.69369369369369,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,27,13.372671365737915,256,19.143519869627312,878.532412187934,3.4317672351091173,76.95161290322581,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,27,11.551872968673706,256,22.16090851191137,753.608599135399,2.9437835903726524,76.52830188679245,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,27,13.455456972122192,256,19.025738072693915,881.8075519506932,3.4445607498073954,76.50806451612904,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,27,16.838759183883667,256,15.203020436625577,1101.1692267606259,4.301442292033695,76.8896103896104,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,28,12.029942989349365,256,21.280233848709674,788.210660405159,3.0789478922076525,76.83928571428571,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,28,13.301268577575684,256,19.246284556014814,873.8627236533165,3.4135262642707676,76.95934959349593,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,28,11.566608667373657,256,22.13267582243949,758.3934279825688,2.9624743280569095,76.5607476635514,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,28,13.397060871124268,256,19.108668868690206,875.0822313947677,3.4182899663858115,76.58064516129032,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,28,16.841506242752075,256,15.200540635144934,1101.6330440065863,4.303254078150728,76.89677419354838,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,29,12.03035283088684,256,21.279508888778658,782.7644107998609,3.0576734796869567,76.97297297297297,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,29,13.27802062034607,256,19.279982108758603,868.8912135875227,3.3941063030762604,76.91803278688525,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,29,11.441781759262085,256,22.3741376462428,748.3749809650183,2.9233397693946026,76.18095238095238,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,29,13.318392753601074,256,19.22153856971832,871.7180014805795,3.4051484432835135,76.31147540983606,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,29,16.79527258872986,256,15.24238434640137,1098.5802471503018,4.2913290904308665,76.92258064516129,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,30,11.904754638671875,256,21.50401312500801,776.1618538142443,3.031882241461892,76.7090909090909,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,30,13.318670749664307,256,19.221137365112234,869.3366745936871,3.3958463851315903,76.869918699187,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,30,11.478171348571777,256,22.303204249678146,745.4770851542951,2.912019863883965,76.27358490566037,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,30,13.350603103637695,256,19.175163699552016,878.7565621911286,3.4326428210590962,76.32520325203252,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,30,16.74781036376953,256,15.285580290173558,1100.3505937331915,4.2982445067702795,76.80645161290323,79.0,Q6_K
